age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,cluster,pca_1,pca_2
59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes,2,1.2493871727466412,2.356253674843855
56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes,2,1.2735134233937973,1.4713514758942952
41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes,2,1.1557710164163304,1.2379175147593346
55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes,2,1.1199690408599905,1.5514220407247221
54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes,2,1.1456935762383758,0.9312310889418065
42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes,2,1.1460371194691399,1.4162704906161736
56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,1,-1,0,unknown,yes,2,1.2893720544842513,1.9549924632723097
60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,-1,0,unknown,yes,2,1.3403708367126383,2.2809982173882974
37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown,yes,2,1.1136987404223027,1.224979135282478
28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,3,-1,0,unknown,yes,2,1.0908363597644757,0.730875558364331
38,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,1,-1,0,unknown,yes,2,1.1321915426388613,1.7878189724840359
30,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,2,-1,0,unknown,yes,2,1.3307953468681875,1.9807421434326518
29,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,4,-1,0,unknown,yes,2,1.4457535023013925,1.6229380893748018
46,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102,2,-1,0,unknown,yes,2,1.096007465542117,1.236588157234743
31,technician,single,tertiary,no,703,yes,no,unknown,8,may,943,2,-1,0,unknown,yes,2,0.9718945135301637,0.20078091280939864
35,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084,1,-1,0,unknown,yes,2,1.1918529678336005,1.5250541371834574
32,blue-collar,single,primary,no,611,yes,no,unknown,8,may,541,3,-1,0,unknown,yes,2,1.2932472515181466,2.028459409037796
49,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,1,-1,0,unknown,yes,2,1.2211760665878677,1.5420880299929671
41,admin.,married,secondary,no,55,yes,no,unknown,8,may,1120,2,-1,0,unknown,yes,2,1.3378614572836847,2.19406183673498
